week,region,topic,n_articles,total_econ_weight,topic_share,mean_similarity,baseline_share,surprise,momentum,persistence_weeks,risk_score,window
2022-12-26,Manchester,Inflation and expectations,3.5,8.5,0.4117647,0.6245976,0.048611142545383144,0.0788308135443937,0.08229919254349706,1,2.310059993600727,reference_week
2022-12-26,Birmingham,"Credit, borrowing and debt conditions",3.0,9.0,0.33333334,0.58717465,0.029027133962978863,0.08175118173632717,0.08684274216868039,1,2.2396503575679465,reference_week
2022-12-26,City of Edinburgh,"Business demand, output and investment",3.0,6.0,0.5,0.5445885,0.021342580841141646,0.10064186343091802,0.11600463536987188,1,2.087458682058882,reference_week
2022-12-26,Bradford,Inflation and expectations,2.0,5.3015113,0.3772509,0.5701653,0.013246828293901407,0.07102069565492111,0.07230482303750049,1,2.051567052136579,reference_week
2022-12-26,Stoke-on-Trent,"Housing, mortgages, rents and construction",3.0,6.0,0.5,0.55064625,0.04717778959151932,0.08332148337394858,0.08274668982605848,1,1.9546269936130005,reference_week
2022-12-26,Aberdeen City,"Energy, food and administered-price shocks",5.0,6.0,0.8333333,0.62575805,0.0745292518187939,0.1406615003756841,0.11131387930799769,5,1.9507614481702458,reference_week
2022-12-26,"Bristol, City of",Household spending and saving,1.5773503,3.5245638,0.44753063,0.57669723,0.017069241379653686,0.05697767381907384,0.06722973447097466,1,1.8192169685325723,reference_week
2022-12-26,Cambridge,Inflation and expectations,3.0,3.0,1.0,0.64010286,0.016780380049159955,0.11939769597512877,0.11968008325961621,1,1.79174955772109,reference_week
2022-12-26,Bassetlaw,Inflation and expectations,1.0,3.0,0.33333334,0.5584717,0.006155292729956529,0.043066261555201754,0.043078488408970814,1,1.721831894211648,reference_week
2022-12-26,Cheshire West and Chester,Inflation and expectations,1.0,3.4472136,0.29008937,0.5851898,0.012566554043138344,0.035716186176943984,0.04257220625299174,1,1.644212164299799,reference_week
2022-12-26,Leeds,Household spending and saving,2.0,10.1547,0.19695313,0.5781288,0.036395503316930755,0.03538670516312377,0.02706324680057077,5,1.6107479468107393,reference_week
2022-12-26,Moray,Inflation and expectations,2.0,2.0,1.0,0.5783653,0.01735441830690828,0.07955902480939356,0.09089122081323613,1,1.5327730471341854,reference_week
2022-12-26,Dundee City,"Housing, mortgages, rents and construction",2.0,5.0,0.4,0.596648,0.02824589639165311,0.0674733474924335,0.056481945134405485,1,1.523026835358005,reference_week
2022-12-26,Leicester,Household spending and saving,1.0,5.4472136,0.1835801,0.6330306,0.01587636228992801,0.029887824106326087,0.03951049384096594,1,1.4912534013380696,reference_week
2022-12-26,Derby,Household spending and saving,1.0,3.1543205,0.31702548,0.62701505,0.011880059483651749,0.03841600027821757,0.04320855486727028,1,1.4826228267000283,reference_week
2022-12-26,Bolton,Inflation and expectations,1.0,3.0,0.33333334,0.56369257,0.012086122388537516,0.03713543189662076,0.033415353433870754,1,1.4814160324084065,reference_week
2022-12-26,Stoke-on-Trent,Inflation and expectations,1.0,6.0,0.16666667,0.6364319,0.018188781822610283,0.02535336235272204,0.028333852857529034,1,1.4540134014209845,reference_week
2022-12-26,Leeds,"Housing, mortgages, rents and construction",3.1547005,10.1547,0.31066406,0.5957102,0.06750613042834014,0.050143239975128664,0.05150969486731603,2,1.4513653870074705,reference_week
2022-12-26,Glasgow City,Household spending and saving,2.0,18.353554,0.108970724,0.61767936,0.04021786539686961,0.016219435392094084,0.035830744924697316,1,1.3926805514597627,reference_week
2022-12-26,"Armagh City, Banbridge and Craigavon",Household spending and saving,1.0,2.0,0.5,0.54811996,0.0076559638791044915,0.04527908387337341,0.045251204785794266,1,1.3669141241792222,reference_week
2022-12-26,Belfast,Household spending and saving,1.0,9.0,0.11111111,0.5271968,0.01220983025603654,0.02794779217687773,0.02694714084688906,2,1.3574498108714985,reference_week
2022-12-26,Maidstone,Inflation and expectations,1.0,2.0,0.5,0.5702208,0.01512885786750075,0.03633003979425563,0.036025489136160736,2,1.3092793692200122,reference_week
2022-12-26,Wrexham,"Business demand, output and investment",1.0,3.7071068,0.26975214,0.52396584,0.014123835097083245,0.03529575558481634,0.03465592257960201,2,1.2711269016032165,reference_week
2022-12-26,Guildford,"Energy, food and administered-price shocks",2.0,3.0,0.6666667,0.6009947,0.039821279140293576,0.07300304942737718,0.07244268064151757,1,1.2701373400647387,reference_week
2022-12-26,Leeds,Inflation and expectations,2.0,10.1547,0.19695313,0.5899593,0.049822622842973015,0.020882629120582162,0.01573786526689798,1,1.2383392912972908,reference_week
2022-12-12,Wrexham,"Housing, mortgages, rents and construction",6.0,13.55193,0.44274136,0.5856138,0.03706198258646437,0.15347791176088302,0.16975402010583196,1,2.288148037893935,recent_active_weeks
2022-12-12,"Bournemouth, Christchurch and Poole",Inflation and expectations,2.0,6.59237,0.30338103,0.623315,0.019076215740874567,0.061100760675832325,0.07179844742571287,1,2.194494371376402,recent_active_weeks
2022-12-19,Camden,"Credit, borrowing and debt conditions",2.0,14.0,0.14285715,0.60064465,0.012045589678304951,0.05303003253580901,0.048048791639600255,1,2.145878390120731,recent_active_weeks
2022-12-26,City of Edinburgh,"Business demand, output and investment",3.0,6.0,0.5,0.5445885,0.021342580841141646,0.10064186343091802,0.11600463536987188,1,2.087458682058882,recent_active_weeks
2022-12-26,Leeds,Inflation and expectations,7.825178,13.427235,0.1951106,0.6012275,0.041623669181594915,0.03984723718904199,0.03942637551815394,3,2.0762192882845536,recent_active_weeks
2022-12-26,Stoke-on-Trent,"Housing, mortgages, rents and construction",7.0,8.5,0.4318182,0.54935575,0.04810546326296746,0.08799870704399496,0.09365843905832799,1,2.0760092297120485,recent_active_weeks
2022-12-12,Maidstone,"Housing, mortgages, rents and construction",4.0,5.0,0.8,0.5643305,0.041686288518762424,0.13403295536532417,0.11966396270188068,1,1.882220814061333,recent_active_weeks
2022-12-12,Brighton and Hove,Inflation and expectations,1.0,4.0,0.25,0.6357007,0.00571147549625191,0.04145918069369144,0.04142192404952491,4,1.8676831912917895,recent_active_weeks
2022-12-12,Moray,"Credit, borrowing and debt conditions",2.0,4.0,0.5,0.58691907,0.024987113539434794,0.06720335126389332,0.07093444783684044,1,1.8620796122773355,recent_active_weeks
2022-12-05,Powys,Inflation and expectations,1.3779645,3.9135134,0.3521042,0.58654076,0.013797974922757267,0.049348758623996986,0.04128203065231765,2,1.8566786769475878,recent_active_weeks
2022-12-19,Southwark,Inflation and expectations,1.0,5.0,0.2,0.56193113,0.005912670845868942,0.03937115909647668,0.039338526747524444,1,1.8497523941061784,recent_active_weeks
2022-12-12,Leeds,"Business demand, output and investment",2.0,16.301826,0.12268564,0.57872957,0.03179862305979679,0.028021935898755512,0.05437302217771783,1,1.8487813526920618,recent_active_weeks
2022-12-19,Highland,Inflation and expectations,5.0,6.3333335,0.24722223,0.58161277,0.014813395791440429,0.052082116397293175,0.05182385464081146,3,1.8423504061805296,recent_active_weeks
2022-12-26,"Bristol, City of",Household spending and saving,1.5773503,3.5245638,0.44753063,0.57669723,0.017069241379653686,0.05697767381907384,0.06722973447097466,1,1.8192169685325723,recent_active_weeks
2022-12-19,Mansfield,Inflation and expectations,1.0,3.7071068,0.26975214,0.5876109,0.00599732271731144,0.0417561093055577,0.04172434385723907,2,1.8091641647790686,recent_active_weeks
2022-12-26,Manchester,Inflation and expectations,7.5,10.833333,0.25154063,0.6398261,0.04607463049363106,0.04099887379373018,0.04244220370362344,2,1.740712001351385,recent_active_weeks
2022-12-26,Bassetlaw,Inflation and expectations,1.0,3.0,0.33333334,0.5584717,0.006155292729956529,0.043066261555201754,0.043078488408970814,1,1.721831894211648,recent_active_weeks
2022-12-19,North Somerset,Inflation and expectations,1.0,3.0,0.33333334,0.53900856,0.006304684313843168,0.04291686997131511,0.042964405600001476,1,1.7091573027536255,recent_active_weeks
2022-12-19,City of Edinburgh,Inflation and expectations,4.0,11.5,0.16269842,0.5757231,0.022430539637231333,0.043148584175747545,0.04994640311496889,2,1.7078148270740028,recent_active_weeks
2022-12-12,Cardiff,Inflation and expectations,5.0,9.707107,0.265669,0.647632,0.05508787057282536,0.03418139651178363,0.03364310538746558,2,1.6945692322969612,recent_active_weeks
2022-12-12,Westmorland and Furness,Inflation and expectations,1.0,3.0,0.33333334,0.62045807,0.007823342428027905,0.04139821185713037,0.03964593682305336,1,1.683511163519094,recent_active_weeks
2022-12-19,West Northamptonshire,Inflation and expectations,1.0,3.0,0.33333334,0.6125134,0.010099206254471416,0.039122348030686864,0.043334432805780004,1,1.6751459847861023,recent_active_weeks
2022-12-19,Preston,Household spending and saving,1.0,7.115355,0.14054112,0.5929425,0.006714870224305986,0.03623389701102603,0.03596058141861023,1,1.6561165496552195,recent_active_weeks
2022-12-26,Cheshire West and Chester,Inflation and expectations,1.0,3.4472136,0.29008937,0.5851898,0.012566554043138344,0.035716186176943984,0.04257220625299174,1,1.644212164299799,recent_active_weeks
2022-12-19,Wirral,Household spending and saving,1.0,5.316228,0.1881033,0.5953794,0.007501890696982703,0.0384990814237856,0.03859756383533766,1,1.6352565416056428,recent_active_weeks
